['10/27/2014', '8:34:11 AM', '-1.000139E+2', '-4.393678E-4', '2.276155E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.322327', '25.532045', '24.189102', '25.042700', '26.867630', '30.326626', '29.895695', '30.534294']
['10/27/2014', '8:35:11 AM', '-1.000137E+2', '-4.394010E-4', '2.275699E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.317993', '25.593941', '24.144297', '25.281200', '27.109812', '30.234898', '29.788342', '30.282261']
['10/27/2014', '8:36:11 AM', '-1.000137E+2', '-4.437936E-4', '2.252330E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.314579', '25.686190', '24.262299', '25.152691', '26.892998', '30.165936', '29.748135', '30.267948']
['10/27/2014', '8:37:11 AM', '-1.000137E+2', '-4.445406E-4', '2.250167E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.317394', '25.729473', '24.246717', '25.162863', '26.800152', '30.474760', '30.033920', '30.438328']
['10/27/2014', '8:38:11 AM', '-1.000140E+2', '-4.421410E-4', '2.261755E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.312492', '25.684101', '24.377951', '25.500137', '27.137424', '30.440760', '29.985201', '30.524555']
['10/27/2014', '8:39:11 AM', '-1.000142E+2', '-4.416197E-4', '2.263758E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.300972', '25.702015', '24.230295', '25.580599', '26.949297', '30.228970', '29.701412', '30.338268']
['10/27/2014', '8:40:11 AM', '-1.000137E+2', '-4.390788E-4', '2.276838E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.289436', '25.775105', '24.365932', '25.447647', '26.871534', '30.126467', '29.678841', '30.268555']
['10/27/2014', '8:41:11 AM', '-1.000136E+2', '-4.451275E-4', '2.245550E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.276104', '25.460072', '24.286373', '25.055347', '26.902355', '30.171558', '29.753813', '30.342794']
['10/27/2014', '8:42:11 AM', '-1.000134E+2', '-4.427804E-4', '2.257085E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.273262', '25.703739', '24.342400', '25.243828', '27.149704', '30.172384', '29.773046', '30.270754']
['10/27/2014', '8:43:11 AM', '-1.000131E+2', '-4.447942E-4', '2.248524E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.265612', '25.504766', '24.058802', '25.188347', '26.895540', '30.168453', '29.831621', '30.405270']
['10/27/2014', '8:44:12 AM', '-1.000132E+2', '-4.468389E-4', '2.238655E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.267303', '25.786085', '24.476255', '25.131170', '27.187897', '30.279430', '29.825954', '30.403303']
['10/27/2014', '8:45:12 AM', '-1.000132E+2', '-4.432813E-4', '2.255574E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.260534', '25.374594', '23.972780', '25.021379', '26.945652', '30.250864', '29.767675', '30.385668']
['10/27/2014', '8:46:12 AM', '-1.000134E+2', '-4.444399E-4', '2.248848E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.276712', '25.519547', '24.132450', '24.798403', '26.645411', '30.277817', '29.853760', '30.478197']
['10/27/2014', '8:47:12 AM', '-1.000134E+2', '-4.433392E-4', '2.256018E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.283108', '25.577452', '23.888655', '24.944613', '26.666525', '30.203995', '29.793926', '30.389805']
['10/27/2014', '8:48:12 AM', '-1.000135E+2', '-4.407565E-4', '2.270110E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.288383', '25.365646', '23.805624', '24.776958', '26.789536', '30.289371', '29.872791', '30.464249']
['10/27/2014', '8:49:12 AM', '-1.000133E+2', '-4.385687E-4', '2.280868E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.270088', '25.236977', '23.791012', '24.964706', '26.473221', '30.049013', '29.652134', '30.238466']
['10/27/2014', '8:50:12 AM', '-1.000128E+2', '-4.367267E-4', '2.288960E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.283596', '25.743507', '23.841312', '25.077555', '26.781073', '29.974703', '29.547903', '30.160759']
['10/27/2014', '8:51:12 AM', '-1.000131E+2', '-4.365987E-4', '2.290570E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.255201', '25.965305', '24.265471', '25.516432', '26.484085', '29.898476', '29.508471', '30.077991']
['10/27/2014', '8:52:12 AM', '-1.000130E+2', '-4.330672E-4', '2.309343E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.248369', '25.759792', '24.288073', '25.119595', '26.664900', '29.873249', '29.531073', '30.213316']
['10/27/2014', '8:53:12 AM', '-1.000127E+2', '-4.310193E-4', '2.319858E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.247446', '25.501318', '24.268751', '25.070839', '26.833221', '30.179611', '29.684679', '30.175970']
['10/27/2014', '8:54:12 AM', '-1.000132E+2', '-4.290043E-4', '2.330366E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.229828', '25.432190', '24.115000', '24.803030', '26.697868', '30.052866', '29.534607', '30.034651']
['10/27/2014', '8:55:12 AM', '-1.000128E+2', '-4.289695E-4', '2.330512E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.232965', '25.015886', '23.875305', '24.725224', '26.421381', '29.964546', '29.519350', '30.139772']
['10/27/2014', '8:56:12 AM', '-1.000126E+2', '-4.318890E-4', '2.314531E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.233322', '25.509270', '23.978682', '25.089830', '26.664568', '30.023537', '29.622728', '30.216635']
['10/27/2014', '8:57:12 AM', '-1.000126E+2', '-4.316425E-4', '2.317520E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.242083', '25.506990', '23.935930', '24.940380', '26.610783', '30.156082', '29.734509', '30.403830']
['10/27/2014', '8:58:12 AM', '-1.000129E+2', '-4.269475E-4', '2.342472E+5', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.235022', '25.194548', '23.925190', '24.705202', '26.761930', '30.003361', '29.635462', '30.163664']
